Wavelength (nm),H_CQD (a.u.),H_50uM (a.u.),HF_CQD (a.u.),HF_50uM (a.u.),S_CQD (a.u.),S_50uM (a.u.),Intensity (a.u.)
396,84.67979,73.34952,159.9784546,135.9233704,364.8912354,351.2486877,84.67979
397.0700073,98.36785,83.55638,178.6691437,155.0939636,389.7042236,368.5372314,98.36785
398,108.6022,93.54972,198.2831421,171.1596527,413.7346802,388.8881226,108.6022
399.0700073,126.0346,107.0772,221.8643799,191.8251038,443.2071838,418.9586182,126.0346
400,140.5628,119.5809,244.7490387,211.0559692,466.2291565,440.8035278,140.5628
401.0700073,161.0722,136.8563,273.999939,234.3894501,497.6541748,466.491333,161.0722
402,176.3161,150.0023,291.9987488,252.5632324,518.6521606,490.2525024,176.3161
403.0700073,201.5603,168.1341,323.6351929,279.6105347,547.3442383,514.5543823,201.5603
404,220.0489,187.5461,345.6027832,303.558136,571.723938,537.7589722,220.0489
405.0700073,248.7482,210.2135,380.1925964,328.9883728,601.0206909,573.2128906,248.7482
